"[N,i]",no. vertices,no. edges,transitivity,worthy,bipartite,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter,name,id
"C4[ 5, 1 ]",5,10,dart-transitive,TRUE,FALSE,120,24,6,0,3,1,K5,0
"C4[ 6, 1 ]",6,12,dart-transitive,FALSE,FALSE,48,8,2,1,3,2,Octahedron,1
"C4[ 8, 1 ]",8,16,dart-transitive,FALSE,TRUE,1152,144,36,2,4,2,"K_4,4",2
"C4[ 9, 1 ]",9,18,dart-transitive,TRUE,FALSE,72,8,2,1,3,2,"DW(3,3)",3
"C4[ 10, 1 ]",10,20,dart-transitive,FALSE,FALSE,320,32,8,1,4,2,"W(5,2)",4
"C4[ 10, 2 ]",10,20,dart-transitive,TRUE,TRUE,240,24,6,1,4,3,"C_10(1,3)",5
"C4[ 12, 1 ]",12,24,dart-transitive,FALSE,TRUE,768,64,16,3,4,3,"W(6,2)",6
"C4[ 12, 2 ]",12,24,dart-transitive,TRUE,FALSE,48,4,1,2,3,3,"R_6(5,4)",7
"C4[ 13, 1 ]",13,26,dart-transitive,TRUE,FALSE,52,4,1,0,4,2,"C_13(1,5)",8
"C4[ 14, 1 ]",14,28,dart-transitive,FALSE,FALSE,1792,128,32,1,4,3,"W(7,2)",9
"C4[ 14, 2 ]",14,28,dart-transitive,TRUE,TRUE,336,24,6,0,4,3,"BC_7(0,1,2,4)",10
"C4[ 15, 1 ]",15,30,dart-transitive,TRUE,FALSE,60,4,1,2,4,3,"C_15(1,4)",11
"C4[ 15, 2 ]",15,30,dart-transitive,TRUE,FALSE,120,8,2,0,3,3,"Pr_5(1,1,2,2)",12
"C4[ 16, 1 ]",16,32,dart-transitive,FALSE,TRUE,4096,256,64,3,4,4,"W(8,2)",13
"C4[ 16, 2 ]",16,32,dart-transitive,TRUE,TRUE,384,24,6,2,4,4,"{4,4}_4,0",14
"C4[ 17, 1 ]",17,34,dart-transitive,TRUE,FALSE,68,4,1,0,4,3,"C_17(1,4)",15
"C4[ 18, 1 ]",18,36,dart-transitive,FALSE,FALSE,9216,512,128,1,4,4,"W(9,2)",16
"C4[ 18, 2 ]",18,36,dart-transitive,TRUE,TRUE,144,8,2,2,4,3,"DW(6,3)",17
"C4[ 20, 1 ]",20,40,dart-transitive,FALSE,TRUE,20480,1024,256,3,4,5,"W(10,2)",18
"C4[ 20, 2 ]",20,40,dart-transitive,TRUE,TRUE,80,4,1,1,4,4,"{4,4}_4,2",19
"C4[ 20, 3 ]",20,40,dart-transitive,TRUE,FALSE,320,16,4,1,4,4,"R_10(7,6)",20
"C4[ 20, 4 ]",20,40,semisymmetric,FALSE,TRUE,3840,384,96,0,4,4,SDD(K5),21
"C4[ 21, 1 ]",21,42,dart-transitive,TRUE,FALSE,84,4,1,2,4,3,"C_21(1,8)",22
"C4[ 21, 2 ]",21,42,dart-transitive,TRUE,FALSE,336,16,4,2,3,3,"PS(3,7;2)",23
"C4[ 22, 1 ]",22,44,dart-transitive,FALSE,FALSE,45056,2048,512,1,4,5,"W(11,2)",24
"C4[ 24, 1 ]",24,48,dart-transitive,FALSE,TRUE,98304,4096,1024,3,4,6,"W(12,2)",25
"C4[ 24, 2 ]",24,48,dart-transitive,TRUE,TRUE,96,4,1,3,4,4,"C_24(1,5)",26
"C4[ 24, 3 ]",24,48,dart-transitive,TRUE,TRUE,96,4,1,3,4,4,"C_24(1,7)",27
"C4[ 24, 4 ]",24,48,dart-transitive,TRUE,TRUE,768,32,8,2,4,4,"R_12(8,7)",28
"C4[ 24, 5 ]",24,48,dart-transitive,TRUE,FALSE,96,4,1,2,3,4,"R_12(11,4)",29
"C4[ 24, 6 ]",24,48,dart-transitive,TRUE,FALSE,96,4,1,2,5,3,"R_12(5,10)",30
"C4[ 24, 7 ]",24,48,semisymmetric,FALSE,TRUE,3072,256,64,0,4,4,SDD(Octahedron),31
"C4[ 25, 1 ]",25,50,dart-transitive,TRUE,FALSE,100,4,1,0,4,3,"C_25(1,7)",32
"C4[ 25, 2 ]",25,50,dart-transitive,TRUE,FALSE,200,8,2,1,4,4,"{4,4}_5,0",33
"C4[ 26, 1 ]",26,52,dart-transitive,FALSE,FALSE,212992,8192,2048,1,4,6,"W(13,2)",34
"C4[ 26, 2 ]",26,52,dart-transitive,TRUE,TRUE,104,4,1,1,4,5,"C_26(1,5)",35
"C4[ 26, 3 ]",26,52,dart-transitive,TRUE,TRUE,11232,432,108,0,6,3,"BC_13(0,1,3,9)",36
"C4[ 27, 1 ]",27,54,dart-transitive,TRUE,FALSE,108,4,1,2,4,4,"DW(9,3)",37
"C4[ 27, 2 ]",27,54,half-arc-transitive,TRUE,FALSE,54,2,1,2,5,3,"PS(3,9;2)",38
"C4[ 27, 3 ]",27,54,dart-transitive,TRUE,FALSE,216,8,2,1,3,4,"AMC(3,3,[0.1:2.2])",39
"C4[ 28, 1 ]",28,56,dart-transitive,FALSE,TRUE,458752,16384,4096,3,4,7,"W(14,2)",40
"C4[ 28, 2 ]",28,56,dart-transitive,TRUE,FALSE,1792,64,16,1,4,4,"R_14(9,8)",41
"C4[ 28, 3 ]",28,56,dart-transitive,TRUE,TRUE,672,24,6,0,6,4,"BC_14(0,1,4,6)",42
"C4[ 29, 1 ]",29,58,dart-transitive,TRUE,FALSE,116,4,1,0,4,4,"C_29(1,12)",43
"C4[ 30, 1 ]",30,60,dart-transitive,FALSE,FALSE,983040,32768,8192,1,4,7,"W(15,2)",44
"C4[ 30, 2 ]",30,60,dart-transitive,TRUE,TRUE,120,4,1,3,4,5,"C_30(1,11)",45
"C4[ 30, 3 ]",30,60,dart-transitive,TRUE,TRUE,720,24,6,1,6,4,"PS(6,5;2)",46
"C4[ 30, 4 ]",30,60,dart-transitive,TRUE,FALSE,120,4,1,1,3,5,"Pr_10(1,1,2,2)",47
"C4[ 30, 5 ]",30,60,dart-transitive,TRUE,FALSE,120,4,1,0,5,3,"Pr_10(1,4,3,2)",48
"C4[ 30, 6 ]",30,60,dart-transitive,TRUE,FALSE,240,8,2,0,3,5,"Pr_10(1,1,3,3)",49
"C4[ 30, 7 ]",30,60,dart-transitive,TRUE,FALSE,240,8,2,1,5,3,"Pr_10(2,3,1,4)",50
"C4[ 30, 8 ]",30,60,dart-transitive,TRUE,FALSE,120,4,1,0,4,4,TAG(F10),51
"C4[ 32, 1 ]",32,64,dart-transitive,FALSE,TRUE,2097152,65536,16384,3,4,8,"W(16,2)",52
"C4[ 32, 2 ]",32,64,dart-transitive,TRUE,TRUE,256,8,2,3,4,4,"{4,4}_4,4",53
"C4[ 32, 3 ]",32,64,dart-transitive,TRUE,TRUE,128,4,1,3,4,4,"{4,4}_<6,2>",54
"C4[ 32, 4 ]",32,64,dart-transitive,TRUE,TRUE,4096,128,32,3,4,4,"MPS(4,16;3)",55
"C4[ 32, 5 ]",32,64,dart-transitive,TRUE,TRUE,2304,72,18,1,6,4,"MSY(4,8,5,4)",56
"C4[ 32, 6 ]",32,64,semisymmetric,FALSE,TRUE,294912,18432,4608,0,4,4,"SDD(K_4,4)",57
"C4[ 33, 1 ]",33,66,dart-transitive,TRUE,FALSE,132,4,1,2,4,5,"C_33(1,10)",58
"C4[ 34, 1 ]",34,68,dart-transitive,FALSE,FALSE,4456448,131072,32768,1,4,8,"W(17,2)",59
"C4[ 34, 2 ]",34,68,dart-transitive,TRUE,TRUE,136,4,1,1,4,5,"C_34(1,13)",60
"C4[ 35, 1 ]",35,70,dart-transitive,TRUE,FALSE,140,4,1,2,4,5,"C_35(1,6)",61
"C4[ 35, 2 ]",35,70,dart-transitive,TRUE,FALSE,5040,144,36,0,6,3,Odd4,62
"C4[ 36, 1 ]",36,72,dart-transitive,FALSE,TRUE,9437184,262144,65536,3,4,9,"W(18,2)",63
"C4[ 36, 2 ]",36,72,dart-transitive,TRUE,TRUE,144,4,1,3,4,6,"DW(12,3)",64
"C4[ 36, 3 ]",36,72,dart-transitive,TRUE,TRUE,288,8,2,3,4,6,"{4,4}_6,0",65
"C4[ 36, 4 ]",36,72,dart-transitive,TRUE,FALSE,9216,256,64,2,4,4,"R_18(11,10)",66
"C4[ 36, 5 ]",36,72,dart-transitive,TRUE,FALSE,144,4,1,2,3,4,"Pr_12(1,1,5,5)",67
"C4[ 36, 6 ]",36,72,dart-transitive,TRUE,TRUE,144,4,1,1,6,4,"AMC(4,3,[0.1:1.2])",68
"C4[ 36, 7 ]",36,72,semisymmetric,FALSE,TRUE,36864,2048,512,0,4,6,"SDD(DW(3,3))",69
"C4[ 37, 1 ]",37,74,dart-transitive,TRUE,FALSE,148,4,1,0,4,5,"C_37(1,6)",70
"C4[ 38, 1 ]",38,76,dart-transitive,FALSE,FALSE,19922944,524288,131072,1,4,9,"W(19,2)",71
"C4[ 39, 1 ]",39,78,dart-transitive,TRUE,FALSE,156,4,1,2,4,6,"C_39(1,14)",72
"C4[ 39, 2 ]",39,78,half-arc-transitive,TRUE,FALSE,78,2,1,2,3,4,"PS(3,13;3)",73
"C4[ 40, 1 ]",40,80,dart-transitive,FALSE,TRUE,41943040,1048576,262144,3,4,10,"W(20,2)",74
"C4[ 40, 2 ]",40,80,dart-transitive,TRUE,TRUE,160,4,1,3,4,5,"C_40(1,9)",75
"C4[ 40, 3 ]",40,80,dart-transitive,TRUE,TRUE,160,4,1,3,4,5,"C_40(1,11)",76
"C4[ 40, 4 ]",40,80,dart-transitive,TRUE,TRUE,160,4,1,1,4,6,"{4,4}_6,2",77
"C4[ 40, 5 ]",40,80,dart-transitive,TRUE,TRUE,160,4,1,1,6,4,"PS(8,5;2)",78
"C4[ 40, 6 ]",40,80,dart-transitive,TRUE,TRUE,160,4,1,1,6,4,"MPS(4,20;3)",79
"C4[ 40, 7 ]",40,80,dart-transitive,TRUE,TRUE,20480,512,128,1,4,5,"R_20(12,11)",80
"C4[ 40, 8 ]",40,80,dart-transitive,TRUE,FALSE,320,8,2,1,4,5,"PX(5,3)",81
"C4[ 40, 9 ]",40,80,semisymmetric,TRUE,TRUE,80,4,1,0,4,4,"PL(MC3(4,5,1,4,2,0,1),[4^5,10^2])",82
"C4[ 40, 10 ]",40,80,semisymmetric,TRUE,TRUE,80,4,1,0,4,4,"PL(Br(4,5;2))",83
"C4[ 40, 11 ]",40,80,semisymmetric,FALSE,TRUE,327680,16384,4096,0,4,5,"SDD(W(5,2))",84
"C4[ 40, 12 ]",40,80,semisymmetric,FALSE,TRUE,245760,12288,3072,0,4,6,"SDD(C_10(1,3))",85
"C4[ 41, 1 ]",41,82,dart-transitive,TRUE,FALSE,164,4,1,0,4,4,"C_41(1,9)",86
"C4[ 42, 1 ]",42,84,dart-transitive,FALSE,FALSE,88080384,2097152,524288,1,4,10,"W(21,2)",87
"C4[ 42, 2 ]",42,84,dart-transitive,TRUE,TRUE,168,4,1,3,4,7,"C_42(1,13)",88
"C4[ 42, 3 ]",42,84,dart-transitive,TRUE,TRUE,672,16,4,3,6,4,"PS(6,7;2)",89
"C4[ 42, 4 ]",42,84,dart-transitive,TRUE,TRUE,336,8,2,0,4,5,"MC3(6,7,1,3,3,0,1)",90
"C4[ 42, 5 ]",42,84,dart-transitive,TRUE,FALSE,336,8,2,0,3,5,L(F28),91
"C4[ 44, 1 ]",44,88,dart-transitive,FALSE,TRUE,184549376,4194304,1048576,3,4,11,"W(22,2)",92
"C4[ 44, 2 ]",44,88,dart-transitive,TRUE,FALSE,45056,1024,256,1,4,5,"R_22(13,12)",93
"C4[ 45, 1 ]",45,90,dart-transitive,TRUE,FALSE,180,4,1,2,4,5,"C_45(1,19)",94
"C4[ 45, 2 ]",45,90,dart-transitive,TRUE,FALSE,180,4,1,2,4,7,"DW(15,3)",95
"C4[ 45, 3 ]",45,90,dart-transitive,TRUE,FALSE,180,4,1,0,4,5,"{4,4}_6,3",96
"C4[ 45, 4 ]",45,90,dart-transitive,TRUE,FALSE,1440,32,8,0,3,4,L(F30),97
"C4[ 46, 1 ]",46,92,dart-transitive,FALSE,FALSE,385875968,8388608,2097152,1,4,11,"W(23,2)",98
"C4[ 48, 1 ]",48,96,dart-transitive,FALSE,TRUE,805306368,16777216,4194304,3,4,12,"W(24,2)",99
"C4[ 48, 2 ]",48,96,dart-transitive,TRUE,TRUE,192,4,1,3,4,6,"C_48(1,7)",100
"C4[ 48, 3 ]",48,96,dart-transitive,TRUE,TRUE,192,4,1,3,4,8,"C_48(1,17)",101
"C4[ 48, 4 ]",48,96,dart-transitive,TRUE,TRUE,192,4,1,3,4,6,"{4,4}_[6,4]",102
"C4[ 48, 5 ]",48,96,dart-transitive,TRUE,TRUE,192,4,1,3,4,6,"{4,4}_<8,4>",103
"C4[ 48, 6 ]",48,96,dart-transitive,TRUE,TRUE,98304,2048,512,4,4,6,"MPS(4,24;5)",104
"C4[ 48, 7 ]",48,96,dart-transitive,TRUE,TRUE,384,8,2,2,6,5,"R_24(20,7)",105
"C4[ 48, 8 ]",48,96,dart-transitive,TRUE,TRUE,384,8,2,2,6,4,"R_24(8,19)",106
"C4[ 48, 9 ]",48,96,dart-transitive,TRUE,TRUE,768,16,4,3,4,6,"PX(6,3)",107
"C4[ 48, 10 ]",48,96,semisymmetric,TRUE,TRUE,384,16,4,0,4,5,"PL(WH_8(2,0,1,5),[3^8,4^6])",108
"C4[ 48, 11 ]",48,96,semisymmetric,TRUE,TRUE,384,16,4,0,4,4,"PL(WH_8(2,1,4,5),[4^6,6^4])",109
"C4[ 48, 12 ]",48,96,dart-transitive,TRUE,TRUE,192,4,1,3,6,5,"KE_12(1,7,4,9,1)",110
"C4[ 48, 13 ]",48,96,semisymmetric,TRUE,TRUE,384,16,4,0,4,5,"PL(Curtain_6(1,3,2,4,5),[4^6,8^3])",111
"C4[ 48, 14 ]",48,96,dart-transitive,TRUE,FALSE,192,4,1,2,3,5,"AMC(3,8,[5.5:5.2])",112
"C4[ 48, 15 ]",48,96,semisymmetric,FALSE,TRUE,196608,8192,2048,0,4,6,"SDD(R_6(5,4))",113
"C4[ 48, 16 ]",48,96,semisymmetric,FALSE,TRUE,3145728,131072,32768,0,4,6,"SDD(W(6,2))",114
"C4[ 49, 1 ]",49,98,dart-transitive,TRUE,FALSE,392,8,2,1,4,6,"{4,4}_7,0",115
"C4[ 50, 1 ]",50,100,dart-transitive,FALSE,FALSE,1677721600,33554432,8388608,1,4,12,"W(25,2)",116
"C4[ 50, 2 ]",50,100,dart-transitive,TRUE,TRUE,200,4,1,1,4,7,"C_50(1,7)",117
"C4[ 50, 3 ]",50,100,dart-transitive,TRUE,TRUE,400,8,2,2,4,5,"{4,4}_5,5",118
"C4[ 50, 4 ]",50,100,dart-transitive,TRUE,TRUE,200,4,1,1,6,5,"PS(10,5;2)",119
"C4[ 51, 1 ]",51,102,dart-transitive,TRUE,FALSE,204,4,1,2,4,8,"C_51(1,16)",120
"C4[ 52, 1 ]",52,104,dart-transitive,FALSE,TRUE,3489660928,67108864,16777216,3,4,13,"W(26,2)",121
"C4[ 52, 2 ]",52,104,dart-transitive,TRUE,TRUE,208,4,1,1,4,6,"{4,4}_6,4",122
"C4[ 52, 3 ]",52,104,dart-transitive,TRUE,FALSE,212992,4096,1024,1,4,6,"R_26(15,14)",123
"C4[ 52, 4 ]",52,104,semisymmetric,FALSE,TRUE,425984,16384,4096,0,4,6,"SDD(C_13(1,5))",124
"C4[ 53, 1 ]",53,106,dart-transitive,TRUE,FALSE,212,4,1,0,4,6,"C_53(1,23)",125
"C4[ 54, 1 ]",54,108,dart-transitive,FALSE,FALSE,7247757312,134217728,33554432,1,4,13,"W(27,2)",126
"C4[ 54, 2 ]",54,108,dart-transitive,TRUE,TRUE,216,4,1,3,4,9,"DW(18,3)",127
"C4[ 54, 3 ]",54,108,half-arc-transitive,TRUE,TRUE,108,2,1,2,6,5,"PS(6,9;2)",128
"C4[ 54, 4 ]",54,108,dart-transitive,TRUE,TRUE,1296,24,6,1,6,5,"MC3(6,9,1,6,2,0,1)",129
"C4[ 54, 5 ]",54,108,dart-transitive,TRUE,TRUE,432,8,2,2,6,5,"AMC(6,3,[0.1:2.2])",130
"C4[ 54, 6 ]",54,108,dart-transitive,TRUE,TRUE,216,4,1,1,4,5,"PL(ProjLR(3,3))",131
"C4[ 55, 1 ]",55,110,dart-transitive,TRUE,FALSE,220,4,1,2,4,5,"C_55(1,21)",132
"C4[ 55, 2 ]",55,110,half-arc-transitive,TRUE,FALSE,110,2,1,2,5,4,"PS(5,11;2)",133
"C4[ 55, 3 ]",55,110,half-arc-transitive,TRUE,FALSE,110,2,1,2,5,4,"PS(5,11;3)",134
"C4[ 55, 4 ]",55,110,dart-transitive,TRUE,FALSE,1320,24,6,0,5,4,"MSY(5,11,5,0)",135
"C4[ 56, 1 ]",56,112,dart-transitive,FALSE,TRUE,15032385536,268435456,67108864,3,4,14,"W(28,2)",136
"C4[ 56, 2 ]",56,112,dart-transitive,TRUE,TRUE,224,4,1,3,4,7,"C_56(1,13)",137
"C4[ 56, 3 ]",56,112,dart-transitive,TRUE,TRUE,224,4,1,3,4,7,"C_56(1,15)",138
"C4[ 56, 4 ]",56,112,dart-transitive,TRUE,TRUE,458752,8192,2048,1,4,7,"R_28(16,15)",139
"C4[ 56, 5 ]",56,112,dart-transitive,TRUE,FALSE,1792,32,8,1,4,6,"PX(7,3)",140
"C4[ 56, 6 ]",56,112,semisymmetric,FALSE,TRUE,29360128,1048576,262144,0,4,7,"SDD(W(7,2))",141
"C4[ 56, 7 ]",56,112,semisymmetric,FALSE,TRUE,5505024,196608,49152,0,4,6,"SDD(BC_7(0,1,2,4))",142
"C4[ 57, 1 ]",57,114,dart-transitive,TRUE,FALSE,228,4,1,2,4,9,"C_57(1,20)",143
"C4[ 57, 2 ]",57,114,half-arc-transitive,TRUE,FALSE,114,2,1,2,3,5,"PS(3,19;7)",144
"C4[ 58, 1 ]",58,116,dart-transitive,FALSE,FALSE,31138512896,536870912,134217728,1,4,14,"W(29,2)",145
"C4[ 58, 2 ]",58,116,dart-transitive,TRUE,TRUE,232,4,1,1,4,7,"C_58(1,17)",146
"C4[ 60, 1 ]",60,120,dart-transitive,FALSE,TRUE,64424509440,1073741824,268435456,3,4,15,"W(30,2)",147
"C4[ 60, 2 ]",60,120,dart-transitive,TRUE,TRUE,240,4,1,3,4,6,"C_60(1,11)",148
"C4[ 60, 3 ]",60,120,dart-transitive,TRUE,TRUE,240,4,1,3,4,10,"C_60(1,19)",149
"C4[ 60, 4 ]",60,120,dart-transitive,TRUE,TRUE,240,4,1,3,4,6,"{4,4}_<8,2>",150
"C4[ 60, 5 ]",60,120,dart-transitive,TRUE,TRUE,240,4,1,1,6,6,"PS(12,5;2)",151
"C4[ 60, 6 ]",60,120,half-arc-transitive,TRUE,TRUE,120,2,1,2,4,5,"PS(4,15;2)",152
"C4[ 60, 7 ]",60,120,dart-transitive,TRUE,FALSE,983040,16384,4096,2,4,7,"R_30(17,16)",153
"C4[ 60, 8 ]",60,120,dart-transitive,TRUE,FALSE,240,4,1,2,6,4,"Pr_20(1,13,17,9)",154
"C4[ 60, 9 ]",60,120,semisymmetric,TRUE,TRUE,120,4,1,0,4,6,"PL(Br(6,5;2))",155
"C4[ 60, 10 ]",60,120,dart-transitive,TRUE,TRUE,240,4,1,1,4,5,"UG(ATD[60,15])",156
"C4[ 60, 11 ]",60,120,dart-transitive,TRUE,TRUE,480,8,2,1,6,6,"UG(ATD[60,16])",157
"C4[ 60, 12 ]",60,120,dart-transitive,TRUE,FALSE,240,4,1,2,4,6,"UG(ATD[60,17])",158
"C4[ 60, 13 ]",60,120,dart-transitive,TRUE,FALSE,480,8,2,1,3,6,"UG(ATD[60,19])",159
