no. vertices,no. edges,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter
5,10,4.787491742782046,3.1780538303479458,1.791759469228055,0,3,1
6,12,3.871201010907891,2.0794415416798357,0.6931471805599453,1,3,2
8,16,7.049254841255837,4.969813299576001,3.58351893845611,2,4,2
9,18,4.276666119016055,2.0794415416798357,0.6931471805599453,1,3,2
10,20,5.768320995793772,3.4657359027997265,2.0794415416798357,1,4,2
10,20,5.480638923341991,3.1780538303479458,1.791759469228055,1,4,3
12,24,6.643789733147672,4.1588830833596715,2.772588722239781,3,4,3
12,24,3.871201010907891,1.3862943611198906,0.0,2,3,3
13,26,3.9512437185814275,1.3862943611198906,0.0,0,4,2
14,28,7.491087593534876,4.852030263919617,3.4657359027997265,1,4,3
14,28,5.817111159963204,3.1780538303479458,1.791759469228055,0,4,3
15,30,4.0943445622221,1.3862943611198906,0.0,2,4,3
15,30,4.787491742782046,2.0794415416798357,0.6931471805599453,0,3,3
16,32,8.317766166719343,5.545177444479562,4.1588830833596715,3,4,4
16,32,5.950642552587727,3.1780538303479458,1.791759469228055,2,4,4
17,34,4.219507705176107,1.3862943611198906,0.0,0,4,3
18,36,9.128696382935672,6.238324625039508,4.852030263919617,1,4,4
18,36,4.969813299576001,2.0794415416798357,0.6931471805599453,2,4,3
20,40,9.927204079153444,6.931471805599453,5.545177444479562,3,4,5
20,40,4.382026634673881,1.3862943611198906,0.0,1,4,4
20,40,5.768320995793772,2.772588722239781,1.3862943611198906,1,4,4
20,40,8.253227645581772,5.950642552587727,4.564348191467836,0,4,4
21,42,4.430816798843313,1.3862943611198906,0.0,2,4,3
21,42,5.817111159963204,2.772588722239781,1.3862943611198906,2,3,3
22,44,10.715661439517714,7.6246189861593985,6.238324625039508,1,4,5
24,48,11.49581999706729,8.317766166719343,6.931471805599453,3,4,6
24,48,4.564348191467836,1.3862943611198906,0.0,3,4,4
24,48,4.564348191467836,1.3862943611198906,0.0,3,4,4
24,48,6.643789733147672,3.4657359027997265,2.0794415416798357,2,4,4
24,48,4.564348191467836,1.3862943611198906,0.0,2,3,4
24,48,4.564348191467836,1.3862943611198906,0.0,2,5,3
24,48,8.030084094267563,5.545177444479562,4.1588830833596715,0,4,4
25,50,4.605170185988092,1.3862943611198906,0.0,0,4,3
25,50,5.298317366548036,2.0794415416798357,0.6931471805599453,1,4,4
26,52,12.269009885300772,9.010913347279288,7.6246189861593985,1,4,6
26,52,4.6443908991413725,1.3862943611198906,0.0,1,4,5
26,52,9.326522126265592,6.068425588244111,4.68213122712422,0,6,3
27,54,4.68213122712422,1.3862943611198906,0.0,2,4,4
27,54,3.9889840465642745,0.6931471805599453,0.0,2,5,3
27,54,5.375278407684165,2.0794415416798357,0.6931471805599453,1,3,4
28,56,13.036265038014438,9.704060527839234,8.317766166719343,3,4,7
28,56,7.491087593534876,4.1588830833596715,2.772588722239781,1,4,4
28,56,6.51025834052315,3.1780538303479458,1.791759469228055,0,6,4
29,58,4.7535901911063645,1.3862943611198906,0.0,0,4,4
30,60,13.798405090061335,10.39720770839918,9.010913347279288,1,4,7
30,60,4.787491742782046,1.3862943611198906,0.0,3,4,5
30,60,6.579251212010101,3.1780538303479458,1.791759469228055,1,6,4
30,60,4.787491742782046,1.3862943611198906,0.0,1,3,5
30,60,4.787491742782046,1.3862943611198906,0.0,0,5,3
30,60,5.480638923341991,2.0794415416798357,0.6931471805599453,0,3,5
30,60,5.480638923341991,2.0794415416798357,0.6931471805599453,1,5,3
30,60,4.787491742782046,1.3862943611198906,0.0,0,4,4
32,64,14.556090791758852,11.090354888959125,9.704060527839234,3,4,8
32,64,5.545177444479562,2.0794415416798357,0.6931471805599453,3,4,4
32,64,4.852030263919617,1.3862943611198906,0.0,3,4,4
32,64,8.317766166719343,4.852030263919617,3.4657359027997265,3,4,4
32,64,7.742402021815782,4.276666119016055,2.8903717578961645,1,6,4
32,64,12.5944322857354,9.821843563495618,8.435549202375727,0,4,4
33,66,4.882801922586371,1.3862943611198906,0.0,2,4,5
34,68,15.309862594135232,11.78350206951907,10.39720770839918,1,4,8
34,68,4.912654885736052,1.3862943611198906,0.0,1,4,5
35,70,4.941642422609304,1.3862943611198906,0.0,2,4,5
